,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
24,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30c1350>,,21,False,False,False,
25,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])C(=O)O[H])N1[H],<fegrow.package.RMol object at 0x151af30c1210>,,21,False,False,False,
26,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2nc([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30b3790>,,21,False,False,False,
27,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C(=O)OC([H])([H])[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30b3f10>,,21,False,False,False,
28,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af2ab2660>,,21,False,False,False,
29,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N([H])C(=O)C([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30b2480>,,21,False,False,False,
30,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N([H])C([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30b2bb0>,,21,False,False,False,
31,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C(=O)C([H])([H])[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30b1f80>,,21,False,False,False,
32,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])c([H])c(Cl)c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24b82c0>,,21,False,False,False,
33,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30bb650>,,21,False,False,False,
